,year,totacc,fatacc,injacc,pdoacc,ntotacc,nfatacc,ninjacc,npdoacc,rtotacc,rfatacc,rinjacc,rpdoacc,ushigh,cntyrds,strtes,t,tsq,unem,spdlaw,beltlaw,wkends,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ltotacc,lfatacc,prcfat,prcrfat,lrtotacc,lrfatacc,lntotacc,lnfatacc,prcnfat,lushigh,lcntyrds,lstrtes,spdt,beltt,prcfat_1
0,1981,40511.0,365,15626,24520,38235.0,323,14743,23169,236,12,99,125,1057,6838,3474,1.0,1,7.9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10.609329,5.8998976,0.9009899,5.084746,5.463832,2.4849067,10.551507,5.7776523,0.84477574,6.96319,8.830251,8.153062,0.0,0.0,
1,1981,36034.0,329,14469,21236,33989.0,294,13620,20075,200,8,101,91,934,6057,3123,2.0,4,8.0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.492218,5.7960577,0.9130266,4.0,5.2983174,2.0794415,10.433792,5.68358,0.8649857,6.8394766,8.70897,8.04655,0.0,0.0,0.9009899
2,1981,40328.0,369,16026,23933,37990.0,335,15105,22550,253,12,110,131,1143,6803,3458,3.0,9,7.4,0,0,13,0,1,0,0,0,0,0,0,0,0,0,10.604801,5.9107966,0.91499704,4.743083,5.5333896,2.4849067,10.545078,5.8141303,0.881811,7.041412,8.825119,8.148446,0.0,0.0,0.9130266
3,1981,37699.0,369,15560,21770,35457.0,326,14654,20477,270,14,123,133,1009,6314,3202,4.0,16,7.2,0,0,12,0,0,1,0,0,0,0,0,0,0,0,10.537389,5.9107966,0.9788058,5.185185,5.598422,2.6390574,10.476076,5.786897,0.9194235,6.916715,8.7505245,8.071531,0.0,0.0,0.91499704
4,1981,38816.0,355,16546,21915,36611.0,321,15569,20721,263,6,136,121,1082,6746,3334,5.0,25,6.1,0,0,15,0,0,0,1,0,0,0,0,0,0,0,10.566587,5.872118,0.91457134,2.2813687,5.572154,1.7917595,10.508104,5.771441,0.87678564,6.9865665,8.816705,8.111928,0.0,0.0,0.9788058
5,1981,38900.0,422,16778,21700,36555.0,376,15747,20432,290,16,131,143,1024,6668,3538,6.0,36,6.7,0,0,12,0,0,0,0,1,0,0,0,0,0,0,10.568749,6.0450053,1.0848329,5.5172415,5.669881,2.7725887,10.506574,5.9295893,1.0285871,6.931472,8.805076,8.171317,0.0,0.0,0.91457134
6,1981,38625.0,470,16515,21640,36303.0,429,15506,20368,312,22,143,147,1028,6614,3573,7.0,49,7.4,0,0,13,0,0,0,0,0,1,0,0,0,0,0,10.561655,6.152733,1.2168285,7.051282,5.7430034,3.0910425,10.499656,6.061457,1.1817205,6.9353704,8.796944,8.181161,0.0,0.0,1.0848329
7,1981,39539.0,466,17063,22010,37034.0,422,16029,20583,311,12,140,159,1117,6635,3717,8.0,64,6.9,0,0,14,0,0,0,0,0,0,1,0,0,0,0,10.585043,6.1441855,1.1785831,3.858521,5.739793,2.4849067,10.519591,6.0450053,1.1394935,7.0184016,8.800114,8.220673,0.0,0.0,1.2168285
8,1981,38070.0,398,16243,21429,35843.0,363,15309,20171,257,11,122,124,1041,6473,3377,9.0,81,7.0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,10.547182,5.986452,1.0454427,4.2801557,5.549076,2.3978953,10.486903,5.894403,1.01275,6.947937,8.775395,8.124743,0.0,0.0,1.1785831
9,1981,40676.0,401,16810,23465,38218.0,354,15758,22106,215,10,95,110,1224,6708,3579,10.0,100,7.6,0,0,14,0,0,0,0,0,0,0,0,1,0,0,10.613394,5.9939613,0.9858393,4.6511626,5.370638,2.3025851,10.551062,5.869297,0.9262651,7.1098795,8.811056,8.182838,0.0,0.0,1.0454427
10,1981,39270.0,356,15930,22984,36781.0,316,14969,21496,278,8,117,153,1195,6309,3494,11.0,121,7.8,0,0,13,0,0,0,0,0,0,0,0,0,1,0,10.578217,5.874931,0.90654445,2.877698,5.627621,2.0794415,10.512736,5.755742,0.8591392,7.0859013,8.749732,8.158802,0.0,0.0,0.9858393
11,1981,39734.0,358,15764,23612,37354.0,322,14858,22174,247,13,107,127,1177,6521,3571,12.0,144,8.6,0,0,12,0,0,0,0,0,0,0,0,0,0,1,10.589963,5.880533,0.9009916,5.263158,5.5093884,2.5649493,10.528195,5.7745514,0.8620228,7.070724,8.782783,8.180601,0.0,0.0,0.90654445
