,city,year,pop,enroll,rent,rnthsg,tothsg,avginc,lenroll,lpop,lrent,ltothsg,lrnthsg,lavginc,clenroll,clpop,clrent,cltothsg,clrnthsg,clavginc,pctstu,cpctstu,y90
0,1,80,75211.0,15303.0,197,13475.0,26167.0,11537.0,9.635804,11.228053,5.2832036,10.172255,9.508592,9.353314,,,,,,,20.346758,,0
1,1,90,77759.0,18017.0,342,15660.0,29467.0,19568.0,9.799071,11.26137,5.8348107,10.291026,9.658865,9.881651,-15293.201,0.033316612,0.55160713,0.11877155,0.15027332,0.5283365,23.17031,2.8235512,1
2,2,80,106743.0,22462.0,323,14580.0,37277.0,19841.0,10.01958,11.578179,5.7776523,10.526132,9.587406,9.895506,,,,,,,21.043066,,0
3,2,90,141865.0,29769.0,496,26895.0,55540.0,31885.0,10.301223,11.862631,6.206576,10.924859,10.199696,10.369891,-22451.7,0.28445148,0.4289236,0.39872742,0.6122894,0.47438526,20.984034,-0.05903244,1
4,3,80,36608.0,11847.0,216,7026.0,13482.0,11455.0,9.37983,10.508022,5.3752785,9.50911,8.857373,9.346182,,,,,,,32.36178,,0
5,3,90,42099.0,10265.0,351,9557.0,16894.0,21202.0,9.236495,10.647779,5.8607864,9.734714,9.16503,9.961851,-11837.764,0.13975716,0.48550797,0.2256031,0.3076563,0.61566925,24.383001,-7.978777,1
6,4,80,36640.0,13825.0,267,7896.0,14041.0,14682.0,9.534234,10.508896,5.587249,9.549737,8.974112,9.5943775,,,,,,,37.731987,,0
7,4,90,46209.0,18173.0,588,10617.0,17926.0,29044.0,9.807693,10.74093,6.376727,9.794007,9.270212,10.276567,-13815.192,0.23203373,0.7894783,0.24427032,0.29610062,0.68218994,39.327835,1.5958481,1
8,5,80,62134.0,8175.0,475,5796.0,21337.0,31300.0,9.008836,11.037048,6.163315,9.968198,8.664924,10.351374,,,,,,,13.157047,,0
9,5,90,110330.0,18205.0,925,15112.0,40257.0,56307.0,9.809451,11.611231,6.829794,10.603039,9.623244,10.938574,-8165.1904,0.5741825,0.6664791,0.63484097,0.9583206,0.58720016,16.500498,3.3434505,1
10,6,80,118550.0,12223.0,276,25562.0,47056.0,16291.0,9.411075,11.68309,5.620401,10.759093,10.148862,9.698368,,,,,,,10.310417,,0
11,6,90,132605.0,15192.0,630,26972.0,50199.0,35103.0,9.628524,11.79513,6.4457197,10.8237505,10.202555,10.466042,-12213.371,0.112039566,0.8253188,0.06465721,0.053692818,0.7676735,11.456581,1.146164,1
12,7,80,76685.0,20724.0,302,15185.0,28674.0,16744.0,9.939048,11.247461,5.710427,10.263746,9.628063,9.725795,,,,,,,27.024841,,0
13,7,90,83312.0,24809.0,521,18674.0,34681.0,29407.0,10.118961,11.330348,6.25575,10.453947,9.8348875,10.288988,-20713.88,0.082886696,0.5453234,0.1902008,0.2068243,0.5631933,29.778423,2.753582,1
14,8,80,65092.0,17134.0,257,10874.0,23543.0,15773.0,9.74882,11.083557,5.549076,10.066584,9.29413,9.666055,,,,,,,26.322742,,0
15,8,90,87758.0,21377.0,422,15943.0,33689.0,26826.0,9.970071,11.382339,6.0450053,10.424927,9.676775,10.197126,-17124.03,0.2987814,0.49592924,0.35834312,0.38264465,0.53107166,24.359034,-1.9637089,1
16,9,80,126109.0,16009.0,253,32471.0,46880.0,11683.0,9.680906,11.744902,5.5333896,10.755346,10.388103,9.3658905,,,,,,,12.694573,,0
17,9,90,130474.0,19012.0,568,33417.0,48986.0,25811.0,9.852825,11.77893,6.3421216,10.79929,10.41682,10.158556,-15999.147,0.034028053,0.80873203,0.043943405,0.028717041,0.7926655,14.5714855,1.8769121,1
18,10,80,81371.0,24528.0,242,14782.0,28307.0,12586.0,10.107571,11.306774,5.488938,10.250864,9.601166,9.44034,,,,,,,30.143417,,0
19,10,90,84770.0,26027.0,383,16889.0,31924.0,21077.0,10.16689,11.347697,5.948035,10.371114,9.734418,9.955937,-24517.834,0.04092312,0.4590969,0.12024975,0.13325214,0.51559734,30.70308,0.55966187,1
20,11,80,81548.0,22735.0,228,17344.0,30822.0,11750.0,10.031661,11.308947,5.4293456,10.335984,9.761002,9.371609,,,,,,,27.879286,,0
