,roe,rok,dkr,eps,netinc,sp90,sp94,salary,return,lsalary,lsp90,lnetinc
0,18.7,17.4,4.0,48.1,1144,59.375,47.0,1090,-20.842106,6.993933,4.0838733,7.0422864
1,1.6,2.4,27.3,-85.3,35,47.875,43.5,1923,-9.138381,7.5616417,3.8685935,3.5553482
2,4.9,4.6,36.8,-44.1,127,39.0,72.625,1012,86.21795,6.919684,3.6635616,4.8441873
3,11.1,8.6,46.4,192.4,367,61.25,142.0,579,131.83673,6.3613024,4.114964,5.9053617
4,5.6,4.5,36.2,-60.4,214,58.0,53.25,600,-8.189655,6.3969297,4.060443,5.365976
5,3.5,2.9,18.7,-79.8,118,68.25,50.5,735,-26.007326,6.5998707,4.2231774,4.7706847
6,12.3,8.5,34.4,39.0,175,33.0,50.25,994,52.272728,6.901737,3.4965076,5.164786
7,7.5,6.3,57.8,-62.8,1692,43.625,27.875,1227,-36.103153,7.1123276,3.7756305,7.4336667
8,15.6,10.5,33.4,-16.2,157,42.75,44.25,913,3.508772,6.8167357,3.7553692,5.056246
9,12.5,9.4,33.4,-19.1,315,37.125,47.75,733,28.619528,6.5971456,3.6142907,5.7525725
10,17.4,16.4,16.7,12.8,407,32.375,25.375,1247,-21.621622,7.128496,3.4773865,6.0088134
11,9.7,8.9,18.3,-34.8,165,36.125,38.5,925,6.574394,6.829794,3.586985,5.1059456
12,12.7,11.8,27.6,-8.6,288,20.625,41.375,602,100.606064,6.4002576,3.026504,5.6629605
13,15.0,12.7,27.3,9.5,147,26.375,25.0,1006,-5.21327,6.9137373,3.2724166,4.9904327
14,16.7,12.7,35.0,19.3,177,31.25,22.625,593,-27.6,6.3851943,3.4420195,5.17615
15,57.0,43.3,12.3,59.5,1845,77.25,51.5,3142,-33.333332,8.052615,4.347047,7.5202346
16,25.7,11.9,53.9,12.8,1013,64.0,36.25,1893,-43.359375,7.545918,4.158883,6.9206715
17,22.9,12.0,33.2,9.0,829,38.5,50.875,1740,32.142857,7.4616404,3.6506581,6.72022
18,18.9,13.5,19.9,5.0,475,39.75,37.125,1558,-6.6037736,7.351158,3.6826098,6.163315
19,15.8,10.0,31.4,2.7,230,48.0,44.625,1095,-7.03125,6.9985094,3.871201,5.4380794
20,14.4,12.2,14.5,2.6,335,53.625,55.0,1235,2.5641026,7.1188264,3.9820154,5.8141303
21,22.3,20.3,0.0,16.0,63,59.5,61.5,569,3.3613446,6.3438807,4.085976,4.1431346
22,19.0,14.8,32.9,-42.6,1537,71.375,67.25,930,-5.7793345,6.8351846,4.2679477,7.337588
23,25.5,15.5,36.1,9.1,228,27.5,9.625,940,-65.0,6.84588,3.314186,5.4293456
24,27.1,23.6,6.6,20.6,174,37.5,33.875,926,-9.666667,6.8308744,3.624341,5.159055
25,14.6,10.7,20.4,-3.4,191,34.75,57.125,756,64.38849,6.6280413,3.5481796,5.2522736
26,20.5,12.7,41.8,13.4,4237,64.5,51.0,2969,-20.930233,7.9959803,4.166665,8.351611
