,year,state,sl55,sl65,sl70,sl75,slnone,seatbelt,minage,zerotol,gdl,bac10,bac08,perse,totfat,nghtfat,wkndfat,totfatpvm,nghtfatpvm,wkndfatpvm,statepop,totfatrte,nghtfatrte,wkndfatrte,vehicmiles,unem,perc14_24,sl70plus,sbprim,sbsecon,d80,d81,d82,d83,d84,d85,d86,d87,d88,d89,d90,d91,d92,d93,d94,d95,d96,d97,d98,d99,d00,d01,d02,d03,d04,vehicmilespc
0,1980,1,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,1.0,0.0,0.0,940,422,236,3.2,1.437,0.803,3893888,24.14,10.84,6.06,29.375,8.8,18.9,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7543.874
1,1981,1,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,1.0,0.0,0.0,933,434,248,3.35,1.558,0.89,3918520,24.07,11.08,6.33,27.852,10.7,18.7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7107.785
2,1982,1,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,1.0,0.0,0.0,839,376,224,2.81,1.259,0.75,3925218,21.37,9.58,5.71,29.85765,14.4,18.4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7606.622
3,1983,1,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,1.0,0.0,0.0,930,397,223,3.0,1.281,0.719,3934109,23.640001,10.089999,5.6699996,31.0,13.7,18.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7879.8022
4,1984,1,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,1.0,0.0,0.0,932,421,237,2.83,1.278,0.72,3951834,23.58,10.650001,6.0,32.932858,11.1,17.6,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8333.5625
5,1985,1,1.0,0.0,0.0,0.0,0.0,0,20.0,0.0,0.0,1.0,0.0,0.0,882,358,224,2.51,1.019,0.637,3972527,22.2,9.01,5.6400003,35.139442,8.9,17.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8845.614
6,1986,1,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,1080,500,279,3.177,1.471,0.821,3991569,27.08,12.530001,6.99,33.99371,9.8,17.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8516.377
7,1987,1,0.542,0.458,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,1111,499,300,2.97,1.334,0.802,4015261,27.67,12.43,7.47,37.40741,7.8,16.599998,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9316.308
8,1988,1,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,1024,423,226,2.58,1.066,0.569,4023858,25.45,10.51,5.62,39.689922,7.2,16.2,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9863.649
9,1989,1,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,1029,418,247,2.52,1.024,0.605,4030229,25.529999,10.369999,6.1299996,40.83333,7.0,15.800001,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10131.764
10,1990,1,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,1121,466,271,2.65,1.102,0.641,4048508,27.69,11.51,6.6900005,42.30189,6.9,15.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10448.761
11,1991,1,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,1116,474,276,2.6,1.104,0.643,4099156,27.23,11.56,6.7299995,42.923077,7.2,15.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10471.199
