,educ,cigpric,white,age,income,cigs,restaurn,lincome,agesq,lcigpric
0,16.0,60.506,1,46,20000,0,0,9.903487,2116,4.1027427
1,16.0,57.883,1,40,30000,0,0,10.308952,1600,4.0584235
2,12.0,57.664,1,58,30000,3,0,10.308952,3364,4.054633
3,13.5,57.883,1,30,20000,0,0,9.903487,900,4.0584235
4,10.0,58.32,1,17,20000,0,0,9.903487,289,4.065945
5,6.0,59.34,1,86,6500,0,0,8.779557,7396,4.0832834
6,12.0,57.883,1,35,20000,0,0,9.903487,1225,4.0584235
7,15.0,57.883,1,48,30000,0,0,10.308952,2304,4.0584235
8,12.0,59.195,1,48,20000,0,0,9.903487,2304,4.0808372
9,12.0,58.028,1,31,20000,0,0,9.903487,961,4.0609255
10,13.5,57.883,1,27,30000,10,0,10.308952,729,4.0584235
11,12.0,60.288,1,24,20000,20,0,9.903487,576,4.099133
12,10.0,57.883,1,71,8500,30,0,9.047821,5041,4.0584235
13,6.0,58.028,1,44,30000,0,0,10.308952,1936,4.0609255
14,16.0,60.746,1,22,30000,0,0,10.308952,484,4.1067014
15,12.0,60.071,1,29,20000,20,0,9.903487,841,4.095527
16,12.0,60.282,1,33,20000,0,0,9.903487,1089,4.0990334
17,12.0,60.704,1,34,20000,30,0,9.903487,1156,4.1060095
18,13.5,59.86,1,30,8500,0,0,9.047821,900,4.0920086
19,10.0,60.324,0,48,30000,20,0,10.308952,2304,4.09973
20,6.0,59.045,1,61,5500,0,0,8.612503,3721,4.0783
21,18.0,60.294,1,49,30000,0,0,10.308952,2401,4.0992327
22,12.0,59.045,1,33,20000,0,0,9.903487,1089,4.0783
23,16.0,60.632,1,24,30000,0,1,10.308952,576,4.1048226
24,16.0,61.744,1,36,30000,0,1,10.308952,1296,4.122997
25,15.0,60.862,1,39,20000,12,1,9.903487,1521,4.108609
26,18.0,61.399,1,38,30000,0,1,10.308952,1444,4.1173935
27,12.0,60.823,1,29,30000,30,1,10.308952,841,4.107968
28,18.0,62.012,1,23,12500,0,1,9.433484,529,4.127328
29,16.0,61.322,0,51,20000,0,1,9.903487,2601,4.1161385
30,13.5,62.089,1,28,20000,0,1,9.903487,784,4.1285686
31,10.0,61.015,1,47,12500,30,1,9.433484,2209,4.1111197
32,10.0,62.489,1,80,12500,0,1,9.433484,6400,4.1349907
33,10.0,61.667,1,62,30000,2,1,10.308952,3844,4.121749
34,10.0,62.012,1,51,12500,0,1,9.433484,2601,4.127328
35,10.0,61.667,1,51,20000,35,1,9.903487,2601,4.121749
36,12.0,61.053,1,69,12500,0,1,9.433484,4761,4.1117425
37,12.0,61.092,1,28,8500,0,1,9.047821,784,4.112381
38,18.0,61.974,1,38,20000,0,1,9.903487,1444,4.1267147
39,15.0,61.168,1,30,30000,0,1,10.308952,900,4.113624
40,18.0,60.862,1,32,30000,25,1,10.308952,1024,4.108609
41,8.0,61.629,0,71,12500,0,1,9.433484,5041,4.1211324
42,10.0,62.489,1,18,20000,0,1,9.903487,324,4.1349907
43,13.5,62.089,1,26,8500,15,1,9.047821,676,4.1285686
44,10.0,61.744,1,30,20000,20,1,9.903487,900,4.122997
45,12.0,60.67,1,19,3500,0,1,8.160519,361,4.105449
46,12.0,61.168,1,19,6500,20,1,8.779557,361,4.113624
47,13.5,61.245,1,21,1500,0,1,7.3132205,441,4.114882
48,16.0,62.089,1,44,20000,0,1,9.903487,1936,4.1285686
49,10.0,60.555,1,69,30000,30,1,10.308952,4761,4.103552
50,16.0,60.555,1,53,20000,0,1,9.903487,2809,4.103552
51,8.0,62.241,1,53,12500,20,1,9.433484,2809,4.131014
52,6.0,61.705,1,38,6500,10,1,8.779557,1444,4.122365
53,10.0,60.555,1,49,30000,20,1,10.308952,2401,4.103552
54,18.0,61.437,1,24,20000,0,1,9.903487,576,4.1180124
55,16.0,61.322,1,57,8500,0,1,9.047821,3249,4.1161385
56,15.0,61.168,1,28,20000,0,1,9.903487,784,4.113624
57,12.0,61.207,1,32,20000,20,1,9.903487,1024,4.1142616
58,13.5,60.823,1,55,20000,0,1,9.903487,3025,4.107968
59,13.5,60.632,1,47,30000,0,1,10.308952,2209,4.1048226
60,13.5,60.785,1,26,20000,0,1,9.903487,676,4.107343
61,10.0,60.555,1,26,6500,20,1,8.779557,676,4.103552
62,16.0,60.708,0,61,30000,0,1,10.308952,3721,4.1060753
63,10.0,60.67,1,48,20000,0,1,9.903487,2304,4.105449
64,18.0,62.736,1,32,30000,0,1,10.308952,1024,4.1389356
65,16.0,62.089,1,29,12500,0,1,9.433484,841,4.1285686
66,18.0,62.571,0,47,30000,0,1,10.308952,2209,4.136302
67,10.0,60.708,0,62,20000,0,1,9.903487,3844,4.1060753
68,16.0,62.159,0,30,8500,0,1,9.047821,900,4.1296954
69,13.5,61.667,1,21,20000,0,1,9.903487,441,4.121749
70,12.0,61.207,1,28,2500,0,1,7.824046,784,4.1142616
71,12.0,61.053,1,50,30000,20,1,10.308952,2500,4.1117425
72,12.0,61.475,1,69,6500,0,1,8.779557,4761,4.1186304
