,date,sp500,divyld,i3,ip,pcsp,rsp500,pcip,ci3,ci3_1,ci3_2,pcip_1,pcip_2,pcip_3,pcsp_1,pcsp_2,pcsp_3
0,1947.01,15.21,4.49,0.38,22.4,,,,,,,,,,,,
1,1947.02,15.8,4.38,0.38,22.5,46.548332,50.928333,5.3571634,0.0,,,,,,,,
2,1947.03,15.16,4.61,0.38,22.6,-48.60762,-43.99762,5.333354,0.0,0.0,,5.3571634,,,46.548332,,
3,1947.04,14.6,4.75,0.38,22.5,-44.327137,-39.577137,-5.3097544,0.0,0.0,0.0,5.333354,5.3571634,,-48.60762,46.548332,
4,1947.05,14.34,5.05,0.38,22.6,-21.36988,-16.319881,5.333354,0.0,0.0,0.0,-5.3097544,5.333354,5.3571634,-44.327137,-48.60762,46.548332
5,1947.06,14.84,5.03,0.38,22.6,41.841003,46.871002,0.0,0.0,0.0,0.0,5.333354,-5.3097544,5.333354,-21.36988,-44.327137,-48.60762
6,1947.07,15.77,4.81,0.64,22.4,75.20218,80.01218,-10.619509,0.26,0.0,0.0,0.0,5.333354,-5.3097544,41.841003,-21.36988,-44.327137
7,1947.08,15.46,4.97,0.74,22.6,-23.589125,-18.619125,10.714327,0.100000024,0.26,0.0,-10.619509,0.0,5.333354,75.20218,41.841003,-21.36988
8,1947.09,15.06,5.16,0.79,22.7,-31.047836,-25.887836,5.3097544,0.050000012,0.100000024,0.26,10.714327,-10.619509,0.0,-23.589125,75.20218,41.841003
9,1947.1,15.45,5.1,0.84,22.9,31.075647,36.175648,10.572626,0.049999952,0.050000012,0.100000024,5.3097544,10.714327,-10.619509,-31.047836,-23.589125,75.20218
10,1947.11,15.27,5.24,0.92,23.3,-13.980532,-8.740532,20.96068,0.08000004,0.049999952,0.050000012,10.572626,5.3097544,10.714327,31.075647,-31.047836,-23.589125
11,1947.12,15.03,5.55,0.95,23.3,-18.860567,-13.310567,0.0,0.029999971,0.08000004,0.049999952,20.96068,10.572626,5.3097544,-13.980532,31.075647,-31.047836
12,1948.01,14.83,5.71,0.97,23.5,-15.968048,-10.258048,10.300468,0.02000004,0.029999971,0.08000004,0.0,20.96068,10.572626,-18.860567,-13.980532,31.075647
13,1948.02,14.1,6.01,0.99,23.5,-59.06942,-53.059418,0.0,0.01999998,0.02000004,0.029999971,10.300468,0.0,20.96068,-15.968048,-18.860567,-13.980532
14,1948.03,14.3,5.9,1.0,23.3,17.02126,22.921259,-10.212805,0.00999999,0.01999998,0.02000004,0.0,10.300468,0.0,-59.06942,-15.968048,-18.860567
15,1948.04,15.4,5.5,1.0,23.3,92.30765,97.80765,0.0,0.0,0.00999999,0.01999998,-10.212805,0.0,10.300468,17.02126,-59.06942,-15.968048
16,1948.05,16.15,5.32,1.0,23.7,58.44156,63.76156,20.600937,0.0,0.0,0.00999999,0.0,-10.212805,0.0,92.30765,17.02126,-59.06942
17,1948.06,16.82,5.02,1.0,24.0,49.783287,54.803288,15.189835,0.0,0.0,0.0,20.600937,0.0,-10.212805,58.44156,92.30765,17.02126
18,1948.07,16.42,4.96,1.0,24.0,-28.537428,-23.577427,0.0,0.0,0.0,0.0,15.189835,20.600937,0.0,49.783287,58.44156,92.30765
19,1948.08,15.94,5.17,1.03,23.9,-35.07921,-29.909208,-5.000019,0.029999971,0.0,0.0,0.0,15.189835,20.600937,-28.537428,49.783287,58.44156
20,1948.09,15.76,5.29,1.09,23.7,-13.550768,-8.260768,-10.041783,0.060000062,0.029999971,0.0,-5.000019,0.0,15.189835,-35.07921,-28.537428,49.783287
21,1948.1,16.19,5.29,1.12,23.9,32.741142,38.031143,10.126524,0.029999971,0.060000062,0.029999971,-10.041783,-5.000019,0.0,-13.550768,-35.07921,-28.537428
22,1948.11,15.29,6.09,1.14,23.6,-66.707886,-60.617886,-15.062723,0.01999998,0.029999971,0.060000062,10.126524,-10.041783,-5.000019,32.741142,-13.550768,-35.07921
23,1948.12,15.19,6.24,1.15,23.4,-7.8482966,-1.6082969,-10.169531,0.00999999,0.01999998,0.029999971,-15.062723,10.126524,-10.041783,-66.707886,32.741142,-13.550768
24,1949.01,15.36,6.2,1.16,23.2,13.429895,19.629894,-10.256351,0.00999999,0.00999999,0.01999998,-10.169531,-15.062723,10.126524,-7.8482966,-66.707886,32.741142
25,1949.02,14.77,6.54,1.16,22.9,-46.09369,-39.553688,-15.5173,0.0,0.00999999,0.00999999,-10.256351,-10.169531,-15.062723,13.429895,-7.8482966,-66.707886
