,state,district,democ,vote90,vote88,inexp90,chexp90,inexp88,chexp88,prtystr,rptchall,tenure,lawyer,linexp90,lchexp90,linexp88,lchexp88,incshr90,incshr88,cvote,clinexp,clchexp,cincshr,win88,win90,cwin
0,AL,2,0,51,94,596096.0,163663.0,234923.0,,62,0,26.0,1.0,13.298157,12.005565,12.367013,,78.458565,,-43,0.93114376,,,1,1,0
1,AL,3,1,74,65,176550.0,22989.0,679297.0,443927.0,65,0,1.0,0.0,12.08136,10.042771,13.428814,13.003415,88.47894,60.47743,9,-1.3474541,-2.9606438,28.001514,1,1,0
2,AL,7,1,71,68,238446.0,58952.0,328296.0,8737.0,41,0,4.0,1.0,12.381898,10.984479,12.701671,9.075322,80.17741,97.40767,3,-0.31977272,1.9091568,-17.230263,1,1,0
3,AK,1,0,52,62,564759.0,164732.0,626377.0,402477.0,60,0,17.0,0.0,13.244154,12.012075,13.347708,12.905394,77.41823,60.88104,-10,-0.10355377,-0.8933182,16.53719,1,1,0
4,AZ,2,1,66,73,112373.0,1445.0,99607.0,3065.0,55,1,29.0,1.0,11.629579,7.2758646,11.508987,8.027802,98.73043,97.01476,-7,0.12059116,-0.75193787,1.7156677,1,1,0
5,AZ,3,0,57,69,225149.0,9353.0,319690.0,26281.0,64,0,14.0,0.0,12.324517,9.143453,12.675107,10.176601,96.01155,92.4037,-12,-0.35058975,-1.0331488,3.6078491,1,1,0
6,AZ,4,0,61,87,442366.0,38851.0,316476.0,,65,0,4.0,1.0,12.999893,10.567489,12.665003,,91.92651,,-26,0.33489037,,,1,1,0
7,AR,3,0,71,75,105354.0,15730.0,159221.0,60054.0,66,0,24.0,0.0,11.565082,9.663325,11.978048,11.002999,87.00902,72.61247,-4,-0.41296673,-1.339674,14.396545,1,1,0
8,AR,4,1,72,69,480853.0,511.0,570155.0,21393.0,46,0,12.0,1.0,13.083317,6.2363696,13.253663,9.970819,99.893845,96.38355,3,-0.17034626,-3.7344499,3.510292,1,1,0
9,CA,2,0,64,59,515020.0,5951.0,696748.0,193915.0,58,0,4.0,0.0,13.151961,8.691315,13.454179,12.175176,98.85771,78.22802,5,-0.30221748,-3.483861,20.629692,1,1,0
10,CA,3,1,60,71,734005.0,4628.0,638688.0,7695.0,49,1,12.0,1.0,13.506271,8.43988,13.367171,8.948326,99.373436,98.80953,-11,0.13910007,-0.50844574,0.5639038,1,1,0
11,CA,5,1,77,76,440973.0,154858.0,616936.0,19245.0,71,0,3.0,0.0,12.996739,11.950264,13.3325205,9.865006,74.00974,96.974915,1,-0.3357811,2.0852575,-22.965172,1,1,0
12,CA,6,1,68,73,655402.0,32724.0,351687.0,50532.0,64,0,8.0,0.0,13.393004,10.3958645,12.770497,10.830362,95.24448,87.43669,-5,0.6225071,-0.43449783,7.807785,1,1,0
13,CA,7,1,61,68,448026.0,47912.0,269887.0,14710.0,53,0,16.0,1.0,13.012607,10.777122,12.505758,9.596283,90.33911,94.83129,-7,0.50684834,1.1808386,-4.49218,1,1,0
14,CA,9,1,58,73,300996.0,210089.0,410540.0,,57,0,18.0,0.0,12.614852,12.255286,12.925229,,58.89353,,-15,-0.31037712,,,1,1,0
15,CA,10,1,63,86,209243.0,2581.0,173537.0,,55,0,28.0,1.0,12.251251,7.855932,12.064146,,98.78153,,-23,0.18710518,,,1,1,0
16,CA,11,1,66,71,620782.0,97030.0,269510.0,95575.0,58,1,10.0,0.0,13.338736,11.482776,12.504361,11.467667,86.48254,73.82117,-5,0.8343744,0.015109062,12.661369,1,1,0
17,CA,12,0,61,52,685135.0,103839.0,1440639.0,1089570.0,49,0,2.0,1.0,13.437371,11.550597,14.180597,13.901294,86.83873,56.93755,9,-0.74322605,-2.3506966,29.90118,1,1,0
18,CA,16,1,74,79,272710.0,23849.0,252336.0,69563.0,54,0,14.0,1.0,12.516164,10.079497,12.438517,11.149988,91.95809,78.38981,-5,0.07764721,-1.0704908,13.568283,1,1,0
19,CA,17,0,45,72,622184.0,538354.0,206677.0,5227.0,59,0,,,13.340991,13.196272,12.238913,8.561593,53.611687,97.53332,-27,1.1020784,4.634679,-43.92163,1,0,-1
20,CA,19,0,55,50,658365.0,241815.0,1470674.0,1548193.0,54,0,16.0,1.0,13.397514,12.395928,14.201231,14.252599,73.13704,48.71609,5,-0.80371666,-1.8566704,24.420948,1,1,0
21,CA,23,1,62,64,201404.0,360389.0,140486.0,100956.0,56,1,14.0,1.0,12.213068,12.794939,11.852863,11.52244,35.850216,58.18623,-2,0.3602047,1.2724991,-22.336014,1,1,0
22,CA,24,1,69,72,287505.0,1830.0,191334.0,15449.0,65,1,16.0,1.0,12.568995,7.512071,12.161776,9.6453,99.367516,92.528885,-3,0.4072199,-2.1332288,6.8386307,1,1,0
23,CA,26,1,61,70,450401.0,82453.0,409233.0,,55,0,8.0,1.0,13.017894,11.3199835,12.92204,,84.52615,,-9,0.095853806,,,1,1,0
24,CA,27,1,58,68,587961.0,146206.0,398597.0,15239.0,54,0,8.0,1.0,13.284416,11.892772,12.895706,9.631613,80.08546,96.31763,-10,0.38871002,2.261159,-16.23217,1,1,0
25,CA,28,1,73,76,113669.0,3799.0,114523.0,,73,1,12.0,1.0,11.641046,8.242494,11.648531,,96.76593,,-3,-0.0074853897,,,1,1,0
26,CA,30,1,58,60,186130.0,72867.0,460622.0,382111.0,53,0,8.0,0.0,12.134201,11.196391,13.040333,12.853466,71.8657,54.65812,-2,-0.90613174,-1.6570749,17.20758,1,1,0
27,CA,32,1,62,67,462503.0,7579.0,457410.0,20608.0,49,1,22.0,0.0,13.044409,8.933137,13.033336,9.9334345,98.387726,95.688866,-5,0.0110731125,-1.0002975,2.6988602,1,1,0
28,CA,33,0,64,69,172451.0,29177.0,186183.0,,62,0,10.0,0.0,12.057868,10.281136,12.134485,,85.52929,,-5,-0.07661724,,,1,1,0
