,wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc,lwage,expersq,tenursq
0,3.1,11,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1.1314021,4,0
1,3.24,12,22,2,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,1.1755733,484,4
2,3.0,11,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0986123,4,0
3,6.0,8,44,28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.7917595,1936,784
4,5.3,12,7,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.6677068,49,4
5,8.75,16,9,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.1690538,81,64
6,11.25,18,15,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2.4203682,225,49
7,5.0,12,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.609438,25,9
8,3.6,12,26,4,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1.2809339,676,16
9,18.18,17,22,21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.9003222,484,441
10,6.25,16,8,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.8325815,64,4
11,8.13,13,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2.095561,9,0
12,8.77,12,15,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2.171337,225,0
13,5.5,12,18,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.704748,324,9
14,22.2,12,31,15,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3.1000924,961,225
15,17.33,16,14,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2.8524392,196,0
16,7.5,12,10,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.014903,100,0
17,10.63,13,16,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.3636801,256,100
18,3.6,12,13,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1.2809339,169,0
19,4.5,12,36,6,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1.5040774,1296,36
20,6.88,12,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1.9286187,121,16
21,8.48,12,29,13,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2.1377103,841,169
22,6.33,16,9,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.8453002,81,81
23,0.53,12,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,-0.63487834,9,1
24,6.0,11,37,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.7917595,1369,64
25,9.56,16,3,3,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2.2575877,9,9
26,7.78,16,11,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2.0515563,121,100
27,12.5,16,31,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.5257287,961,0
28,12.5,15,30,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2.5257287,900,0
29,3.25,8,9,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1.178655,81,1
30,13.0,14,23,5,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,2.5649493,529,25
31,4.5,14,2,5,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1.5040774,4,25
32,9.68,13,16,16,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.270062,256,256
33,5.0,12,7,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.609438,49,9
34,4.68,12,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1.5432981,9,0
35,4.27,16,22,4,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1.4516138,484,16
36,6.15,12,15,6,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1.8164521,225,36
37,3.51,4,39,15,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,1.2556161,1521,225
38,3.0,14,3,3,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1.0986123,9,9
39,6.25,12,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1.8325815,121,0
40,7.81,12,3,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2.055405,9,0
41,10.0,12,20,5,1,1,1,4,1,0,0,1,0,0,0,0,0,1,0,1,0,2.3025851,400,25
42,4.5,14,16,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1.5040774,256,0
43,4.0,11,45,12,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1.3862944,2025,144
44,6.38,13,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.8531681,121,16
45,13.7,15,20,13,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,2.6173959,400,169
46,1.67,10,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0.5128236,1,0
47,2.93,12,36,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1.0750024,1296,4
48,3.65,14,9,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.2947272,81,4
49,2.9,12,15,1,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1.0647107,225,1
50,1.63,12,18,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.48858002,324,0
51,8.6,16,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.1517622,9,4
52,5.0,12,15,5,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1.609438,225,25
53,6.0,12,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.7917595,49,49
54,2.5,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91629076,4,0
55,3.25,15,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.178655,9,0
56,3.4,16,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.2237755,1,1
57,10.0,8,13,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.3025851,169,0
58,21.63,18,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3.0740812,64,64
59,4.38,16,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.4770488,49,0
60,11.71,13,40,20,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.4604433,1600,400
61,12.39,14,42,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.5168898,1764,25
62,6.25,10,36,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.8325815,1296,64
63,3.71,10,13,0,1,1,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1.3110319,169,0
64,7.78,14,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.0515563,81,9
65,19.98,14,26,23,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2.9947317,676,529
66,6.25,16,7,4,1,1,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1.8325815,49,16
67,10.0,12,25,3,0,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,2.3025851,625,9
68,5.71,16,10,5,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1.742219,100,25
69,2.0,12,3,2,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931472,9,4
70,5.71,16,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1.742219,9,0
71,13.08,17,17,2,1,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,2.5710843,289,4
72,4.91,12,17,8,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5912739,289,64
73,2.91,12,20,34,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0681531,400,1156
74,3.75,12,7,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.3217559,49,0
75,11.9,13,24,19,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,2.4765384,576,361
76,4.0,12,28,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1.3862944,784,0
77,3.1,12,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1.1314021,4,1
78,8.45,12,19,13,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1341665,361,169
79,7.14,18,13,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1.9657128,169,0
80,4.5,9,22,5,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5040774,484,25
81,4.65,16,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.5368673,9,1
82,2.9,10,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1.0647107,16,0
83,6.67,12,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.8976198,49,25
84,3.5,12,6,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1.2527629,36,4
85,3.26,12,13,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1.1817272,169,9
86,3.25,12,14,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1.178655,196,0
87,8.0,12,14,4,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2.0794415,196,16
88,9.85,8,40,24,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2874715,1600,576
89,7.5,12,11,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.014903,121,49
