,wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
0,769,40,93,35,12,11,2,31,1,0,0,1,1,2.0,8.0,8.0,6.645091
1,808,50,119,41,18,11,16,37,1,0,0,1,1,,14.0,14.0,6.694562
2,825,40,108,46,14,11,9,33,1,0,0,1,1,2.0,14.0,14.0,6.7153835
3,650,40,96,32,12,13,7,32,1,0,0,1,4,3.0,12.0,12.0,6.4769726
4,562,40,74,27,11,14,5,34,1,0,0,1,10,6.0,6.0,11.0,6.331502
5,1400,40,116,43,16,14,2,35,1,1,0,1,1,2.0,8.0,,7.2442274
6,600,40,91,24,10,13,0,30,0,0,0,1,1,2.0,8.0,8.0,6.3969297
7,1081,40,114,50,18,8,14,38,1,0,0,1,2,3.0,8.0,,6.985642
8,1154,45,111,37,15,13,1,36,1,0,0,0,2,3.0,14.0,5.0,7.0509896
9,1000,40,95,44,12,16,16,36,1,0,0,1,1,1.0,12.0,11.0,6.9077554
10,930,43,132,44,18,8,13,38,1,0,0,0,1,1.0,13.0,14.0,6.8351846
11,921,38,102,45,14,9,11,33,1,0,0,0,1,2.0,16.0,,6.82546
12,900,45,125,40,15,4,3,30,0,0,0,0,2,,12.0,12.0,6.802395
13,1318,38,119,24,16,7,2,28,1,0,0,1,3,1.0,10.0,10.0,7.183871
14,1792,40,118,47,16,9,9,34,1,0,0,1,1,1.0,12.0,12.0,7.4910874
15,958,50,105,37,10,17,2,35,1,0,0,1,1,2.0,6.0,8.0,6.8648477
16,1360,45,109,39,15,6,9,36,1,0,0,1,3,3.0,12.0,10.0,7.21524
17,850,40,72,36,11,19,10,38,1,0,0,1,2,3.0,10.0,8.0,6.7452364
18,830,44,105,29,14,4,7,29,1,0,0,1,3,1.0,12.0,,6.7214255
19,471,44,101,34,12,13,7,31,1,0,0,1,3,2.0,8.0,,6.154858
20,1275,40,123,37,14,9,1,31,1,0,0,1,0,1.0,12.0,,7.1507015
21,1615,50,113,49,16,10,4,36,1,0,0,1,2,1.0,12.0,12.0,7.38709
22,873,65,95,36,12,14,3,38,1,0,0,1,5,1.0,10.0,10.0,6.7719355
23,2137,45,145,50,16,17,8,38,1,0,0,1,2,1.0,12.0,12.0,7.667158
24,1053,38,114,35,16,12,7,32,1,0,0,1,0,1.0,11.0,11.0,6.9593987
25,1602,60,124,32,16,8,9,29,1,0,0,1,3,1.0,16.0,16.0,7.3790083
