,price,wage,t,lprice,lwage,gprice,gwage,gwage_1,gwage_2,gwage_3,gwage_4,gwage_5,gwage_6,gwage_7,gwage_8,gwage_9,gwage_10,gwage_11,gwage_12,gprice_1
0,92.6,2.32,1,4.5282893,0.84156716,,,,,,,,,,,,,,,
1,92.5,2.32,2,4.527209,0.84156716,-0.001080513,0.0,,,,,,,,,,,,,
2,92.6,2.32,3,4.5282893,0.84156716,0.001080513,0.0,0.0,,,,,,,,,,,,-0.001080513
3,92.7,2.34,4,4.5293684,0.8501509,0.0010790825,0.0085837245,0.0,0.0,,,,,,,,,,,0.001080513
4,92.7,2.35,5,4.5293684,0.8544153,0.0,0.0042644143,0.0085837245,0.0,0.0,,,,,,,,,,0.0010790825
5,92.9,2.36,6,4.5315237,0.8586616,0.002155304,0.0042462945,0.0042644143,0.0085837245,0.0,0.0,,,,,,,,,0.0
6,93.1,2.36,7,4.5336742,0.8586616,0.0021505356,0.0,0.0042462945,0.0042644143,0.0085837245,0.0,0.0,,,,,,,,0.002155304
7,93.0,2.37,8,4.5325994,0.8628899,-0.001074791,0.004228294,0.0,0.0042462945,0.0042644143,0.0085837245,0.0,0.0,,,,,,,0.0021505356
8,93.2,2.4,9,4.5347476,0.8754688,0.0021481514,0.012578905,0.004228294,0.0,0.0042462945,0.0042644143,0.0085837245,0.0,0.0,,,,,,-0.001074791
9,93.3,2.39,10,4.53582,0.8712934,0.0010724068,-0.004175365,0.012578905,0.004228294,0.0,0.0042462945,0.0042644143,0.0085837245,0.0,0.0,,,,,0.0021481514
10,93.5,2.4,11,4.5379615,0.8754688,0.0021414757,0.004175365,-0.004175365,0.012578905,0.004228294,0.0,0.0042462945,0.0042644143,0.0085837245,0.0,0.0,,,,0.0010724068
11,93.6,2.4,12,4.5390306,0.8754688,0.0010690689,0.0,0.004175365,-0.004175365,0.012578905,0.004228294,0.0,0.0042462945,0.0042644143,0.0085837245,0.0,0.0,,,0.0021414757
12,93.6,2.4,13,4.5390306,0.8754688,0.0,0.0,0.0,0.004175365,-0.004175365,0.012578905,0.004228294,0.0,0.0042462945,0.0042644143,0.0085837245,0.0,0.0,,0.0010690689
13,93.6,2.42,14,4.5390306,0.88376755,0.0,0.008298755,0.0,0.0,0.004175365,-0.004175365,0.012578905,0.004228294,0.0,0.0042462945,0.0042644143,0.0085837245,0.0,0.0,0.0
14,93.7,2.42,15,4.540098,0.88376755,0.0010676384,0.0,0.008298755,0.0,0.0,0.004175365,-0.004175365,0.012578905,0.004228294,0.0,0.0042462945,0.0042644143,0.0085837245,0.0,0.0
15,94.0,2.42,16,4.543295,0.88376755,0.0031967163,0.0,0.0,0.008298755,0.0,0.0,0.004175365,-0.004175365,0.012578905,0.004228294,0.0,0.0042462945,0.0042644143,0.0085837245,0.0010676384
16,94.2,2.45,17,4.54542,0.89608806,0.0021252632,0.0123205185,0.0,0.0,0.008298755,0.0,0.0,0.004175365,-0.004175365,0.012578905,0.004228294,0.0,0.0042462945,0.0042644143,0.0031967163
17,94.7,2.46,18,4.550714,0.9001614,0.005293846,0.004073322,0.0123205185,0.0,0.0,0.008298755,0.0,0.0,0.004175365,-0.004175365,0.012578905,0.004228294,0.0,0.0042462945,0.0021252632
18,94.8,2.46,19,4.5517693,0.9001614,0.0010552406,0.0,0.004073322,0.0123205185,0.0,0.0,0.008298755,0.0,0.0,0.004175365,-0.004175365,0.012578905,0.004228294,0.0,0.005293846
19,94.6,2.46,20,4.5496573,0.9001614,-0.0021119118,0.0,0.0,0.004073322,0.0123205185,0.0,0.0,0.008298755,0.0,0.0,0.004175365,-0.004175365,0.012578905,0.004228294,0.0010552406
