,female,phsrank,BA,AA,black,hispanic,id,exper,jc,univ,lwage,stotal,smcity,medcity,submed,lgcity,sublg,vlgcity,subvlg,ne,nc,south,totcoll
0,1,65,0,0,0,0,19.0,161,0.0,0.0,1.9252908,-0.4417497,0,0,0,0,1,0,0,1,0,0,0.0
1,1,97,0,0,0,0,93.0,119,0.0,7.0333333,2.7964942,0.0,1,0,0,0,0,0,0,0,1,0,7.0333333
2,1,44,0,0,0,0,96.0,81,0.0,0.0,1.6255995,-1.3570027,0,0,0,0,1,0,0,1,0,0,0.0
3,1,34,0,0,0,1,119.0,39,0.26666668,0.0,2.223312,-0.19005509,1,0,0,0,0,0,0,0,0,0,0.26666668
4,1,80,0,0,0,0,132.0,141,0.0,0.0,1.6420826,0.0,0,0,0,0,0,0,0,0,0,1,0.0
5,0,59,0,0,0,0,156.0,165,0.0,0.0,2.0794415,1.3887565,1,0,0,0,0,0,0,0,0,1,0.0
6,0,81,1,0,0,0,163.0,127,0.26666668,4.4444375,2.8779492,1.4116378,1,0,0,0,0,0,0,0,1,0,4.7111044
7,0,50,0,0,1,0,188.0,161,0.0,0.0,2.5201123,-0.3731057,0,0,0,1,0,0,0,0,0,1,0.0
8,0,8,0,0,0,0,199.0,138,0.08888874,0.0,2.5257287,0.0,1,0,0,0,0,0,0,0,0,0,0.08888874
9,0,56,1,0,1,0,200.0,64,0.0,5.4,2.6740758,-1.4027654,0,0,0,0,0,0,0,0,0,1,5.4
10,1,46,1,0,0,0,262.0,119,0.0,4.1,1.9841313,-0.23581775,0,1,0,0,0,0,0,0,1,0,4.1
11,1,87,0,0,0,0,263.0,105,0.0,0.0,2.2529943,1.0684179,1,0,0,0,0,0,0,0,0,1,0.0
12,1,42,0,0,0,0,287.0,124,0.8888875,0.0,1.7491999,0.5421474,0,0,0,0,0,0,1,0,0,0,0.8888875
13,1,66,0,0,0,0,288.0,143,0.0,0.0,1.2089599,0.58791006,0,0,0,0,0,0,0,0,1,0,0.0
14,0,43,0,1,0,0,360.0,160,2.7666667,0.0,2.014903,0.5650287,0,0,0,0,0,0,0,1,0,0,2.7666667
15,1,48,0,0,0,0,374.0,121,0.0,0.0,1.3862944,-0.16717376,0,1,0,0,0,0,0,0,0,1,0.0
16,1,87,0,0,0,0,415.0,166,0.9555542,0.0,2.1972246,0.17604615,1,0,0,0,0,0,0,0,0,1,0.9555542
17,1,99,1,0,0,0,425.0,118,0.0,4.533325,2.022283,1.4345192,0,0,1,0,0,0,0,0,0,1,4.533325
18,1,57,0,0,1,0,448.0,103,0.0,0.0,1.475643,-2.3866625,0,0,0,0,0,0,0,0,0,1,0.0
19,0,14,0,0,0,0,452.0,60,0.36666667,0.0,2.2512918,0.0,0,0,0,0,1,0,0,0,0,0,0.36666667
20,1,80,1,0,0,1,454.0,131,3.8333333,2.3333333,1.8718022,0.0,0,1,0,0,0,0,0,0,0,1,6.1666665
21,1,43,0,0,0,1,467.0,95,0.0,0.0,1.20077,-1.0824269,1,0,0,0,0,0,0,0,0,0,0.0
22,1,54,0,0,0,0,493.0,59,0.0,1.3,2.086289,0.0,0,0,0,0,1,0,0,1,0,0,1.3
23,1,88,0,0,0,0,499.0,161,0.0,1.9,2.1690538,0.72519803,1,0,0,0,0,0,0,0,0,1,1.9
24,0,68,0,0,0,0,513.0,122,0.0,0.0,2.4079456,0.2218088,1,0,0,0,0,0,0,0,1,0,0.0
25,1,70,0,0,0,0,527.0,162,0.1,0.0,2.1690538,-0.7849696,0,0,1,0,0,0,0,0,0,1,0.1
26,1,95,1,0,0,0,543.0,106,0.0,4.8333335,2.3285606,0.7709606,0,0,0,0,1,0,0,0,1,0,4.8333335
27,0,85,1,0,0,0,547.0,60,2.1,3.2833333,2.5862591,-0.0298858,0,0,0,0,0,0,0,0,0,0,5.383333
28,1,52,0,0,0,0,560.0,107,0.1,0.0,2.4029229,0.0,0,0,0,1,0,0,0,0,0,0,0.1
29,0,85,0,0,0,0,572.0,165,0.15555534,0.0,3.0726933,1.0226552,0,0,0,0,0,0,0,0,0,0,0.15555534
30,1,41,1,0,1,0,591.0,136,0.0,4.199994,2.4952457,-1.1739522,0,1,0,0,0,0,0,0,0,0,4.199994
31,1,0,0,0,0,0,596.0,21,0.0,0.0,1.6379564,-1.3798841,0,0,0,1,0,0,0,0,0,0,0.0
